MercedesBenz;Antos;421;12800;10300;25.7;6;10.500;
MAN;TGX;456;14800;13000;30;8;11500;
DAF;XFSpace;460;12900;28000;32.3;6;16000;
Volvo;FL280;340;16495;10250;18.7;8;4735;
Volvo;FE;356;15399;14531;15.8;5;6000;
MAN;TGM;410;18000;28950;25.7;4;11000;
Volvo;FL280;286;7696;8500;15;4;6899;
MercedesBenz;ActroTX;311;9657;11097;14.5;6;7453;
Iveco;Daily;258;5789;6900;11.5;4;4597;
Haiko;GTS;239;4935;3146;10;4;3654;
Volvo;FL280;286;7696;4456;7.8;4;5673;
Liebherr;LTM1200;567;10986;12479;13.5;8;12487;
Mack;RTX120;120;1245;3500;7.8;4;5689;
DAF;LF256;215;5689;8900;12.2;6;8546;
BelAZ;BELAS75710;4665;130000;450000;1300;32;360000;
MAN;TFL;465;13.4;10430;34.8;6;7565;
